Artist;Anger;Article;Death;Family;Friends;Home;I;Money;Negate;Negemo;Optim;Other;Othref;Posemo;Posfeel;Preps;Pronoun;Relig;Sad;School;Self;Sexual;Swear;We;You
Henkwijngaard;0.0014976465554129225;0.04728284124946513;0.0008557980316645273;0.002781343602909713;0.001069747539580659;0.011125374411638855;0.0733846812152332;0.003851091142490373;0.0094137783483098;0.01433461703038083;0.003423192126658109;0.013692768506632437;0.03187847667950364;0.013906718014548566;0.0040650406504065045;0.11082584510055626;0.11596063329054344;0.00021394950791613182;0.006204535729567822;0.0;0.07595207531022677;0.003851091142490373;0.0006418485237483952;0.002567394094993581;0.014120667522464696
BrigitteKaandorp;0.007935138864930136;0.04761083318958082;0.0022425392444367772;0.0010350181128169745;0.0053475935828877;0.003105054338450923;0.06348111091944109;0.0025875452820424355;0.01811281697429705;0.02173538036915646;0.0008625150940141452;0.016042780748663103;0.05744350526134207;0.013455235466620663;0.00362256339485941;0.10298430222528894;0.12851474900810764;0.0010350181128169745;0.006900120752113162;0.0005175090564084871;0.06572365016387786;0.0015525271692254615;0.0010350181128169745;0.0022425392444367772;0.034673106779368634
GerardJoling;0.0008299903167796375;0.04122285240005533;0.00013833171946327292;0.0004149951583898188;0.0008299903167796375;0.001659980633559275;0.0944805643934154;0.0005533268778530917;0.011066537557061834;0.02130308479734403;0.0037349564255083688;0.0012449854751694564;0.048277770092682255;0.031401300318162954;0.015493152579886569;0.10416378475584452;0.1542398672015493;0.0019366440724858211;0.010098215520818923;0.00013833171946327292;0.09793885737999723;0.011619864434914926;0.0;0.0027666343892654584;0.04066952552220224
DeBoswachters;0.003929273084479371;0.0550098231827112;0.0;0.0;0.0;0.0;0.07858546168958742;0.003929273084479371;0.06286836935166994;0.003929273084479371;0.0;0.005893909626719057;0.019646365422396856;0.0;0.0;0.0412573673870334;0.10216110019646366;0.0;0.0;0.0;0.0825147347740668;0.0;0.0;0.0;0.001964636542239685
SlimmeSchemer;0.0;0.03996101364522417;0.0;0.0038986354775828462;0.0009746588693957113;0.0009746588693957113;0.08869395711500974;0.0;0.0019493177387914231;0.006822612085769979;0.0009746588693957113;0.006822612085769979;0.04775828460038986;0.0029239766081871343;0.0;0.056530214424951264;0.14132553606237816;0.0;0.0019493177387914231;0.0019493177387914231;0.08869395711500974;0.0009746588693957113;0.0;0.0;0.03996101364522417
JeroenVanDerBoom;0.002649963864129125;0.044166064402152094;0.0002409058058299205;0.002007548381916004;8.030193527664017e-05;0.0011242270938729624;0.0905805829920501;0.00032120774110656067;0.017024010278647715;0.020236087689713318;0.0035332851521721674;0.0036938890227254475;0.06809604111459086;0.024732996065205168;0.010680157391793142;0.0889745442865173;0.17224765116839316;0.0018469445113627238;0.008672609009877139;0.0008030193527664018;0.09162450815064643;0.0053802296635348905;0.0;0.0008030193527664018;0.061109772745523164
GlennisGrace;0.0020530048525569237;0.04628592758491975;0.0007465472191116088;0.002799552071668533;0.0026129152668906306;0.0003732736095558044;0.0936916759985069;0.0003732736095558044;0.013251213139231057;0.02500933184023889;0.003919372900335946;0.005785740948114969;0.06980216498693542;0.021649869354236656;0.008025382605449796;0.07465472191116088;0.18047779022023144;0.0016797312430011195;0.014557670772676373;0.0001866368047779022;0.09667786487495332;0.0018663680477790218;0.0001866368047779022;0.0022396416573348264;0.0593505039193729
AndréHazes;0.001999818198345605;0.036178529224615945;0.0004090537223888738;0.003681483501499864;0.002863376056722116;0.00327242977911099;0.08971911644395962;0.0038632851558949187;0.01490773566039451;0.0191800745386783;0.0025452231615307693;0.006090355422234343;0.06376693027906552;0.023679665484955915;0.009499136442141624;0.07085719480047269;0.16566675756749386;0.0010908099263703301;0.010862648850104536;0.0004090537223888738;0.09149168257431142;0.0021816198527406603;9.09008271975275e-05;0.001636214889555495;0.05067721116262158
Lil'Kleine;0.005048057507471125;0.03210564574751636;0.000646151360956304;0.006623051449802115;0.005451902108068815;0.00323075680478152;0.08504967288587352;0.005694208868427429;0.010015346094822712;0.017607624586059283;0.001938454082868912;0.009490348114045716;0.06946127130280268;0.015628786043130602;0.00605766900896535;0.07160164768597044;0.16630320652612873;0.000646151360956304;0.005411517648009046;0.0010903804216137632;0.08622082222760681;0.001938454082868912;0.001898069622809143;0.0010903804216137632;0.056820935304094974
Bizzey;0.0019643396796615287;0.028105167724388036;0.0;0.00536415835599879;0.001662133575098217;0.0018887881535207007;0.06497431248111211;0.0026443034149289816;0.007630704140223632;0.02138108189785434;0.0007555152614082803;0.0077062556663644605;0.05772136597159262;0.015185856754306438;0.0019643396796615287;0.06172559685705651;0.128739800543971;0.0006044122091266245;0.0018887881535207007;0.00030220610456331223;0.06588093079480206;0.002417648836506497;0.002266545784224841;0.0008310667875491085;0.04782411604714415
GersPardoel;0.001968684186429814;0.045737569819613584;0.0005951835912462229;0.003708451606995697;0.0015566340078747368;0.003296401428440619;0.08515703690138265;0.002197600952293746;0.010392821170222506;0.02110612581265452;0.0023807343649848915;0.011262704880505448;0.04724842047431554;0.016390440435857526;0.004715685376796996;0.09330647376613864;0.14444647926014098;0.002060250892775387;0.014467539602600497;0.0007783170039373684;0.08808717150444098;0.0023807343649848915;0.0005494002380734365;0.002930134603058328;0.029255562677410495
BLØF;0.002327935222672065;0.06396761133603239;0.0007591093117408907;0.0024291497975708503;0.0005566801619433198;0.0024291497975708503;0.06923076923076922;0.0016194331983805667;0.015941295546558706;0.01589068825910931;0.00465587044534413;0.012246963562753036;0.04736842105263158;0.02019230769230769;0.005819838056680161;0.08577935222672065;0.13562753036437247;0.004048582995951417;0.005617408906882591;0.00020242914979757084;0.07327935222672065;0.002834008097165992;0.00010121457489878542;0.003694331983805668;0.027125506072874492
Brace;0.004248088360237893;0.03200226564712546;0.0011328235627301047;0.005097706032285472;0.0033984706881903144;0.0;0.08524497309544038;0.004814500141602946;0.0118946474086661;0.023506088926649675;0.002548853016142736;0.0016992353440951572;0.06853582554517132;0.02124044180118946;0.004531294250920419;0.07958085528178986;0.16709147550269046;0.001416029453412631;0.007646559048428207;0.0005664117813650524;0.08609459076748796;0.004248088360237893;0.0033984706881903144;0.0005664117813650524;0.06513735485698102
WolterKroes;0.0013543253766717454;0.05129507364144235;0.00016929067208396818;0.0011850347045877774;0.002708650753343491;0.0011850347045877774;0.10766886744540376;0.00016929067208396818;0.01675977653631285;0.019807008633824275;0.003216522769595395;0.0016929067208396814;0.07042491958693076;0.03064161164719824;0.016929067208396816;0.08125952260030472;0.1931606568478077;0.0015236160487557134;0.008125952260030472;0.0016929067208396814;0.11342475029625868;0.008803114948366345;0.0;0.005755882850854918;0.06229896732690029
EvaDeRoovere;0.0055529847292919935;0.04720037019898195;0.0009254974548819992;0.0013882461823229984;0.003239241092086997;0.003239241092086997;0.08121240166589543;0.0006941230911614992;0.008329477093937991;0.02336881073577048;0.0027764923646459968;0.010411846367422487;0.06987505784359092;0.021749190189726982;0.00971772327626099;0.07612216566404442;0.16288755205923186;0.0009254974548819992;0.006247107820453493;0.0009254974548819992;0.08537714021286441;0.002545118000925497;0.0;0.003933364183248496;0.04534937528921795
MissMontreal;0.002400960384153661;0.03361344537815126;0.0;0.003601440576230492;0.0;0.0;0.06962785114045618;0.0;0.0;0.020408163265306117;0.01680672268907563;0.002400960384153661;0.06842737094837935;0.0312124849939976;0.006002400960384154;0.0744297719087635;0.15606242496998798;0.0;0.014405762304921969;0.0012004801920768304;0.08523409363745499;0.0;0.0012004801920768304;0.012004801920768308;0.04441776710684274
DePoema's;0.0032993401319736052;0.05698860227954409;0.0014997000599880025;0.0020995800839832034;0.0011997600479904018;0.0026994601079784047;0.08848230353929214;0.002999400119976005;0.02369526094781044;0.02609478104379124;0.0026994601079784047;0.01169766046790642;0.035992801439712056;0.024595080983803242;0.007498500299940013;0.06778644271145771;0.15236952609478105;0.00029994001199760045;0.010797840431913616;0.0017996400719856032;0.09028194361127774;0.007798440311937612;0.0;0.0014997000599880025;0.020695860827834436
